extracted tweets
"'Resign immediately'

Rohit Sharma under fire as Australia dominate India at The Gabba

READ  http://toi.in/lAHa3b

#INDvsAUS #INDvAUS #Gabba #RohitSharma #IndianCricket"
#Watch | BJP leader #RameshPahelwan and his wife and party leader Kusumlata Ramesh join #AAP in the presence of AAP national convener #ArvindKejriwal
"#INDvsAUS #AUSvsIND #GabbaTest

BIG WICKET! 
@Jaspritbumrah93
 completes his five-wicket haul 

Dismisses Marsh and Head (152 off 160 balls) in one over

Australia 327/6 in 86.5 overs

Follow for live updates:"
"#Zelensky sacks general for 'failing to stop' Russian advance in Pokrovsk; #Ukraine stares at big loss

Watch"
"#Kolkata | A day after the recovery of a severed head of a woman from a vat in #Tollygunge's Graham Road area, the nine-member Special Investigation Team (SIT) probing the case claimed to have cracked the case with the arrest of a house painter from Laskarpara in Diamond Harbour."
"#INDvsAUS #AUSvsIND #GabbaTest

Edged & Gone! 

Second wicket for Jasprit Bumrah, dismisses Nathan McSweeney (9)

Australia 38/2 in 18.3 overs

Follow for live updates:"
"#INDvsAUS #AUSvsIND #GabbaTest

Early breakthrough for India! 

Jasprit Bumrah strikes to dismiss Usman Khawaja (21)

Australia 31/1 in 16.1 overs

Follow for live updates:"
"#INDvsAUS #AUSvsIND #GabbaTest

Day 2 action begins as India eye early wickets against Australia at Gabba

Follow for live updates:"
"#TimesEvoke | ‘The #raceforminerals has caused global resentments — and a huge #footprint on #Earth’ 

Read more http://toi.in/KTs3jY

#minerals #mining #nature #science #climatechange"
"#TimesEvoke | 'Yours, Mine and Ores'
Why are humans fascinated by #minerals? And what do minerals cost us?

Read more   http://toi.in/KTs3jY

#mining #nature #science #climatechange"
‘Don’t visit…’:  U.S. & EU travel alert for Russians as #Russia & #Ukraine trade heavy fire
"#WATCH | A massive fire breaks out at Bhargi Gandoh Bhalesa in district #Doda, three houses gutted by the far. Rescue teams from J&K Police, Fire Department and Revenue Department Gandoh are presnet at the spot. Firefighting operations are underway 

#Jammu #Kashmir"
"The anticipatory bail applications have been filed by Subhash's wife Nikita Singhania, her mother Nisha Singhania, brother Anurag Singhania, and uncle Sushil Singhania.

Details here  http://toi.in/XGR3hb

#Bengalurutechie #AllahabadHighCourt #AtulSubhash"
"From Manusmriti to Eklavya: #RahulGandhi continues with scripture, symbols to attack BJP

LoP Rahul Gandhi, who rose to speak in Lok Sabha, chose to stick to his strategy to attack the ruling BJP with references linked to Hindu scriptures

Know morehttp://toi.in/7xLZ5a47"
"Former Pakistan cricketer and now commentator Ramiz Raja made a baffling statement about Shaheen Afridi during the second T20 between South Africa  and Pakistan 

#SAvPAK"
AAP Convenor #ArvindKejriwal writes to Union Home Minister #AmitShah over the law and order situation in #Delhi and sought time to meet him.
"#RBI receives email warning about a blast

Know more  http://toi.in/VhmPQZ49"
"#OpenAI whistleblower #SuchirBalaji, 26, was found dead in his #SanFrancisco apartment on November 26. 

He had publicly accused #OpenAI of copyright infringement in developing #ChatGPT, claiming their practices harmed businesses and entrepreneurs.

Know more"
#Turkey vs #SDF: #Ankara escalates operations against #US-backed group as #AntonyBlinken highlights role in anti-#ISIS fight | WATCH
"Indian students in Canada in panic after #Ottawa seeks documents afresh

Indian students in #Canada face a wave of requests from Immigration, Refugees and Citizenship Canada (IRCC) to resubmit key documents, sparking anxiety."
"#PakistanCricket 

Pakistan allrounder retires from international cricket, again!

Read: http://toi.in/JOaxbY/a24gk"
"#TamilNadu | Following incessant rainfall in #Tiruchirappalli, rainwater enters residential areas and houses in Health Colony, #Ramachandra"
#Russia strikes across #Ukraine; causes widespread power outages and destruction
"""Glad to receive Ambassador of Armenia, Vahagn Afyan in New Delhi today. Spoke about deepening the long-standing India-Armenia cooperation,"" tweets EAM Dr #SJaishankar"
"#Australia #SteveSmith #INDvsAUS #UsmanKhawaja

With two Tests left in 2024, Australia battle to avoid historic low

Read: http://toi.in/o6bJvZ18"
"Watch | ""There has always been an attempt by a particular party to hijack the work of Constitution making...Today I want to make it clear, that our Constitution is not the gift of a single party,"" says Defence Minister #RajnathSingh during discussion in #LokSabha on the 75th"
"#Bengaluru police visited the #Jaunpur home of Subhash Atul's estranged wife, investigating allegations of harassment and extortion leading to his suicide. 

Details: http://toi.in/2bxQ4b86  

#BengaluruTechie"
"Watch | #BengaluruPolice paste notice outside the residence of the wife of #AtulSubhash, the techie who died by suicide. 

Details: http://toi.in/2bxQ4b86 

#BengaluruTechie"
"#AndhraPradesh | A #Kuwait-based #NRI confessed in a selfie video to murdering his 12-year-old daughter's alleged molester. He claimed police inaction after his wife reported the molestation forced him to take matters into his own hands.

Details here: http://toi.in/fMGALZ31"
"Watch | PM #NarendraModi visits the Sangam Nose in Prayagraj

PM Modi will inaugurate and launch multiple development projects worth around Rs 5500 crore at #Prayagraj"
"As extraordinary as the 18-year-old Gukesh’s achievement is, what’s even more inspiring is that he got there having started 2024 on a low.

https://timesofindia.indiatimes.com/gukesh-the-comeback-kid/articleshow/116260899.cms?utm_source=Social&utm_medium=Twitter&utm_campaign=LMTWLinks…"
"#Cricket #PakistanCricket 

'It wasn't what I signed up for'

Jason Gillespie resigns as Pakistan Test coach, Aaqib Javed named interim replacement"
10 Poonamallee jail officials suspended for failure to curb mobile phone use
"#DGukesh from India secured the #WorldChessChampionship title. He defeated the reigning champion, #DingLiren of #China, in a thrilling final game held in #Singapore 

Know more http://toi.in/c94WFY"
"#Cricket #VinodKambli 

'Ready to go to rehab. Sachin did everything for me' 

Vinod Kambli opens up on health scare, friendship with Tendulkar"
"""Mere Bachhe ko insaaf dijiye... bas aur kuch nahi chahiye (Give justice to my child. We don't expect anything else),"" Anju Devi Modi said, shortly before flying back to her home in #Patna with the body of her son Subhash Atul, an automobile company executive, who died by suicide"
